WARNING 2026-06-07 09:33:15,091 log 11236 15564 Unauthorized: /api/placements/dashboard/
WARNING 2026-06-07 09:33:15,235 log 11236 8708 Not Found: /api/logbook/dashboard/
WARNING 2026-06-07 09:33:15,236 log 11236 15564 "GET /api/placements/dashboard/ HTTP/1.1" 401 84
WARNING 2026-06-07 09:33:15,236 log 11236 8708 "GET /api/logbook/dashboard/ HTTP/1.1" 404 5430
WARNING 2026-06-07 09:33:15,369 log 11236 15564 Not Found: /api/logbook/dashboard/
INFO 2026-06-07 09:33:15,369 log 11236 18420 "POST /api/token/refresh/ HTTP/1.1" 200 244
INFO 2026-06-07 09:33:15,372 log 11236 8708 "POST /api/token/refresh/ HTTP/1.1" 200 244
WARNING 2026-06-07 09:33:15,373 log 11236 15564 "GET /api/logbook/dashboard/ HTTP/1.1" 404 5430
ERROR 2026-06-07 09:33:15,453 log 11236 8708 Internal Server Error: /api/placements/dashboard/
ERROR 2026-06-07 09:33:15,476 log 11236 8708 "GET /api/placements/dashboard/ HTTP/1.1" 500 72
ERROR 2026-06-07 09:33:15,554 log 11236 8708 Internal Server Error: /api/placements/dashboard/
ERROR 2026-06-07 09:33:15,556 log 11236 8708 "GET /api/placements/dashboard/ HTTP/1.1" 500 72
INFO 2026-06-07 09:55:39,056 log 11236 3840 "OPTIONS /api/supervisor/reviews/ HTTP/1.1" 200 0
INFO 2026-06-07 09:55:39,161 log 11236 1864 "OPTIONS /api/logs/dashboard/ HTTP/1.1" 200 0
INFO 2026-06-07 09:55:39,161 log 11236 7872 "OPTIONS /api/supervisor/reviews/ HTTP/1.1" 200 0
INFO 2026-06-07 09:55:39,201 log 11236 11068 "OPTIONS /api/logs/dashboard/ HTTP/1.1" 200 0
INFO 2026-06-07 09:55:40,339 log 11236 3840 "GET /api/supervisor/reviews/ HTTP/1.1" 200 34
INFO 2026-06-07 09:55:40,444 log 11236 3840 "GET /api/supervisor/reviews/ HTTP/1.1" 200 34
ERROR 2026-06-07 09:55:43,997 log 11236 1864 Internal Server Error: /api/logs/dashboard/
ERROR 2026-06-07 09:55:43,999 log 11236 1864 "GET /api/logs/dashboard/ HTTP/1.1" 500 72
ERROR 2026-06-07 09:55:44,112 log 11236 1864 Internal Server Error: /api/logs/dashboard/
ERROR 2026-06-07 09:55:44,121 log 11236 1864 "GET /api/logs/dashboard/ HTTP/1.1" 500 72
INFO 2026-06-07 09:56:33,536 log 11236 5484 "GET /api/supervisor/reviews/ HTTP/1.1" 200 34
INFO 2026-06-07 09:56:33,623 log 11236 5484 "GET /api/supervisor/reviews/ HTTP/1.1" 200 34
INFO 2026-06-07 09:56:38,013 log 11236 5484 "GET /api/supervisor/reviews/ HTTP/1.1" 200 34
ERROR 2026-06-07 09:56:38,103 log 11236 4480 Internal Server Error: /api/logs/dashboard/
ERROR 2026-06-07 09:56:38,116 log 11236 4480 "GET /api/logs/dashboard/ HTTP/1.1" 500 72
INFO 2026-06-07 09:56:38,126 log 11236 5484 "GET /api/supervisor/reviews/ HTTP/1.1" 200 34
ERROR 2026-06-07 09:56:38,173 log 11236 4480 Internal Server Error: /api/logs/dashboard/
ERROR 2026-06-07 09:56:38,174 log 11236 4480 "GET /api/logs/dashboard/ HTTP/1.1" 500 72
INFO 2026-06-07 10:05:08,112 autoreload 11236 17884 C:\Users\Kaladi\Documents\GitHub\internship_logging_evaluation_system\BACKEND\logbook\views.py changed, reloading.
INFO 2026-06-07 10:05:34,772 autoreload 12684 9308 Watching for file changes with StatReloader
WARNING 2026-06-07 10:05:47,209 log 12684 10564 Unauthorized: /api/supervisor/reviews/
WARNING 2026-06-07 10:05:47,209 log 12684 2604 Unauthorized: /api/logs/dashboard/
WARNING 2026-06-07 10:05:47,211 log 12684 10564 "GET /api/supervisor/reviews/ HTTP/1.1" 401 84
WARNING 2026-06-07 10:05:47,211 log 12684 2604 "GET /api/logs/dashboard/ HTTP/1.1" 401 84
WARNING 2026-06-07 10:05:47,245 log 12684 2604 Unauthorized: /api/logs/dashboard/
WARNING 2026-06-07 10:05:47,259 log 12684 2604 "GET /api/logs/dashboard/ HTTP/1.1" 401 84
WARNING 2026-06-07 10:05:47,267 log 12684 10564 Unauthorized: /api/supervisor/reviews/
WARNING 2026-06-07 10:05:47,288 log 12684 10564 "GET /api/supervisor/reviews/ HTTP/1.1" 401 84
INFO 2026-06-07 10:05:47,370 log 12684 2604 "POST /api/token/refresh/ HTTP/1.1" 200 244
INFO 2026-06-07 10:05:47,376 log 12684 10564 "POST /api/token/refresh/ HTTP/1.1" 200 244
INFO 2026-06-07 10:05:47,379 log 12684 18692 "POST /api/token/refresh/ HTTP/1.1" 200 244
INFO 2026-06-07 10:05:47,428 log 12684 2604 "POST /api/token/refresh/ HTTP/1.1" 200 244
INFO 2026-06-07 10:05:47,451 log 12684 18692 "GET /api/supervisor/reviews/ HTTP/1.1" 200 34
INFO 2026-06-07 10:05:47,477 log 12684 18692 "GET /api/supervisor/reviews/ HTTP/1.1" 200 34
ERROR 2026-06-07 10:05:47,824 log 12684 10564 Internal Server Error: /api/logs/dashboard/
ERROR 2026-06-07 10:05:47,825 log 12684 10564 "GET /api/logs/dashboard/ HTTP/1.1" 500 72
ERROR 2026-06-07 10:05:47,885 log 12684 10564 Internal Server Error: /api/logs/dashboard/
ERROR 2026-06-07 10:05:47,887 log 12684 10564 "GET /api/logs/dashboard/ HTTP/1.1" 500 72
INFO 2026-06-07 10:43:04,409 autoreload 18800 9372 Watching for file changes with StatReloader
INFO 2026-06-07 10:43:22,069 log 18800 4796 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2026-06-07 10:43:24,395 log 18800 4796 "POST /api/auth/login/ HTTP/1.1" 200 640
INFO 2026-06-07 10:43:24,713 log 18800 4796 "OPTIONS /api/evaluations/score/1/ HTTP/1.1" 200 0
INFO 2026-06-07 10:43:24,783 log 18800 4796 "GET /api/placements/dashboard/ HTTP/1.1" 200 118
WARNING 2026-06-07 10:43:24,880 log 18800 4796 Not Found: /api/logbook/dashboard/
WARNING 2026-06-07 10:43:24,881 log 18800 4796 "GET /api/logbook/dashboard/ HTTP/1.1" 404 5430
INFO 2026-06-07 10:43:24,919 log 18800 4796 "GET /api/placements/dashboard/ HTTP/1.1" 200 118
WARNING 2026-06-07 10:43:24,950 log 18800 4796 Not Found: /api/logbook/dashboard/
WARNING 2026-06-07 10:43:24,965 log 18800 4796 "GET /api/logbook/dashboard/ HTTP/1.1" 404 5430
ERROR 2026-06-07 10:43:24,977 log 18800 3600 Internal Server Error: /api/evaluations/score/1/
ERROR 2026-06-07 10:43:24,981 log 18800 3600 "GET /api/evaluations/score/1/ HTTP/1.1" 500 72
ERROR 2026-06-07 10:43:25,006 log 18800 3600 Internal Server Error: /api/evaluations/score/1/
ERROR 2026-06-07 10:43:25,007 log 18800 3600 "GET /api/evaluations/score/1/ HTTP/1.1" 500 72
INFO 2026-06-07 10:43:29,372 log 18800 4796 "OPTIONS /api/placements/ HTTP/1.1" 200 0
INFO 2026-06-07 10:43:29,373 log 18800 3600 "OPTIONS /api/placements/ HTTP/1.1" 200 0
INFO 2026-06-07 10:43:29,387 log 18800 4796 "GET /api/placements/ HTTP/1.1" 200 24
INFO 2026-06-07 10:43:29,398 log 18800 4796 "GET /api/placements/ HTTP/1.1" 200 24
INFO 2026-06-07 10:43:29,413 log 18800 4796 "OPTIONS /api/logs/ HTTP/1.1" 200 0
INFO 2026-06-07 10:43:29,439 log 18800 4796 "GET /api/logs/ HTTP/1.1" 200 24
INFO 2026-06-07 10:43:29,467 log 18800 4796 "GET /api/logs/ HTTP/1.1" 200 24
WARNING 2026-06-07 10:43:36,096 log 18800 3600 Not Found: /api/logbook/dashboard/
WARNING 2026-06-07 10:43:36,101 log 18800 3600 "GET /api/logbook/dashboard/ HTTP/1.1" 404 5430
INFO 2026-06-07 10:43:36,104 log 18800 4796 "GET /api/placements/dashboard/ HTTP/1.1" 200 118
